file,active_synapses,frustrated_excluded,immune_desert,total_cells
Sample_B_Cav_wall_HE_2_-_2019-03-18_15.44.09_5__.tif,80,4,15,99
Sample_B_MYC_H_E_-_2019-09-27_08.26.36_-_3E_inset.tif,1656,0,237,1893
Sample_A_top-H_E_-_2019-07-04_15.42.39_5__.tif,755,2,227,984
Sample_B_MYC_H_E_-_2019-09-27_08.26.36_5__.tif,328,1,82,411
Sample_C_-_HE_-_2019-05-19_11.31.59_5__.tif,190,0,70,260
Sample_K_-_HE_27_-_2019-02-13_11.04.52_6__.tif,649,2,183,834
Sample_H__HE_-_2018-05-21_16.06.26_5__.tif,591,1,161,753
Sample_A_bottom-H_E_-_2019-07-04_15.55.29_5__.tif,1900,28,711,2639
Sample_D_11-01-2019_HE_-_2019-01-14_11.11.26_5__.tif,1892,8,566,2466
Sample_J_-_HE_20_-_2021-08-19_15.10.35_5__.tif,1606,0,487,2093
